Name,Turnovers_Line,ReboundsAssists_Line,PointsRebounds_Line,PointsReboundsAssists_Line,Assists_Line,Points_Line,Double_Line,BlocksSteals_Line,Rebounds_Line,Threes_Line,Blocks_Line,Triple_Line,Fantasy_Line,FT_Line,Steals_Line,PointsAssists_Line
Tre Jones,1.5s,9.5,,18.5,6.5,,,,3.0,0.5s,,,,,,15.5
Julian Champagnie,,,,,,,,,,0.5s,,,,,,
Shai Gilgeous-Alexander,,12.5,,44.5,7.0,31.5,0.5s,,6.0,1.5s,,,,,,
Alperen Sengun,,14.5,,34.5,4.5,19.5,,,9.5,0.5s,,,,,,
Chet Holmgren,,11.5,,27.5,,16.5,0.5s,,8.5,1.5s,,,,,,
Jalen Williams,,9.0,,29.5,,,,,4.0,1.5,,,,,,
Fred VanVleet,,9.5,,25.5,6.0,15.5,,,,2.5,,,,,,
Dillon Brooks,,,,17.5,,,,,3.0,1.5,,,,,,
Jalen Green,,8.0,,24.5,,,,,4.5,1.5,,,,,,
Josh Giddey,,9.5,,18.5,,,,,5.5,0.5s,,,,,,
Luguentz Dort,,,,15.5,,,,,4.0,1.5s,,,,,,
Jabari Smith Jr.,,10.5,,24.5,,13.5,0.5s,,9.0,1.5,,,,,,
