Name,PointsAssists_Line,PointsRebounds_Line,Assists_Line,Blocks_Line,Triple_Line,Fantasy_Line,Points_Line,ReboundsAssists_Line,Turnovers_Line,BlocksSteals_Line,Rebounds_Line,FT_Line,Double_Line,Steals_Line,PointsReboundsAssists_Line,Threes_Line
Nick Richards,,20.5,,1.5,,,11.5,,,2.5s,9.5,,0.5s,0.5,21.5,
Cody Martin,,,3.5,0.5s,,,,8.0,1.5,1.5,4.5,,,1.5s,17.5,1.5s
Tre Mann,18.5,18.5,5.0,0.5s,,,,10.0,2.5s,1.5s,,,,1.5s,23.5,1.5
Brandon Miller,22.5,24.5,,0.5s,,,,7.0,2.0,2.0,4.5,,,1.5s,27.5,2.5s
Vasilije Micic,,,4.5,0.5s,,,,,2.0,0.5s,,,,0.5s,,0.5s
Kawhi Leonard,30.5,32.5,,0.5s,,43.05,26.5,10.5,2.5s,2.5,6.5,,,1.5,36.5,2.0
De'Aaron Fox,30.5,29.5,5.0,0.5s,,41.65,,9.0,2.5,2.5s,4.0,,,2.0,34.5,2.5
Domantas Sabonis,29.5,33.5,8.5,0.5s,0.5s,49.35,20.5,21.5,2.5,1.5,12.5,,,0.5s,42.5,0.5s
Paul George,24.5,26.5,,0.5s,,36.95,,8.5,1.5s,1.5s,5.0,,,1.5s,29.5,2.5s
James Harden,26.5,24.5,8.0,0.5s,,38.85,18.5,13.5,2.5,1.5,5.5,,0.5s,0.5s,32.5,3.0
Keegan Murray,,17.5,,0.5s,,,,6.5,,1.5s,5.0,,,0.5s,19.5,1.5
Harrison Barnes,,,,0.5s,,,,,,0.5s,3.0,,,0.5s,16.5,1.5
Malik Monk,21.5,19.5,4.5,,,,,7.5,2.0,1.5s,3.0,,,0.5,24.5,2.0
Kevin Huerter,,,,0.5s,,,,,,1.5s,,,,0.5s,17.5,2.0
Ivica Zubac,,22.5,,0.5s,,,12.5,11.5,1.5s,1.5s,9.5,,0.5s,0.5s,23.5,
Terance Mann,,,,0.5s,,,,,,0.5s,3.5,,,0.5s,16.5,0.5s
