Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Rebounds_Assists_Over,Points_Rebounds_Assists_Under,Points_Rebounds_Assists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Keldon Johnson,,,,,-127,11.5,,-125,17.5,,114,3.5,,-234,1.5
Zach Collins,,,,,,,,-117,14.5,,-160,4.5,,-166,0.5
Malaki Branham,,,,,,,,,,,,,,136,0.5
Blake Wesley,,,,,,,,,,,,,,-454,0.5
Jimmy Butler,,102,4.5,,-127,20.5,,-115,30.5,,-135,5.5,,129,0.5
Terry Rozier,,-109,4.5,,-157,15.5,,-157,24.5,,-111,3.5,,104,1.5
Anfernee Simons,,100,5.5,,-119,22.5,,-113,31.5,,-154,3.5,,-154,3.5
Duncan Robinson,,-157,3.5,,-137,13.5,,-137,19.5,,-123,2.5,,114,2.5
Caleb Martin,,100,1.5,,-101,9.5,,-103,16.5,,102,4.5,,-244,1.5
Bam Adebayo,,-154,3.5,,-117,20.5,,-119,35.5,,-139,11.5,,,
Deandre Ayton,,123,1.5,,-123,16.5,,-127,29.5,,-119,10.5,,,
Toumani Camara,,-194,1.5,,-135,6.5,,-104,11.5,,-127,4.5,,-129,0.5
Jerami Grant,,-115,3.5,,-121,21.5,,100,28.5,,-113,3.5,,133,1.5
Jaime Jaquez Jr.,,,,,-113,11.5,,-125,17.5,,-123,3.5,,100,0.5
Kevin Love,,,,,,,,-129,13.5,,100,4.5,,-234,1.5
Jabari Walker,,,,,,,,-117,12.5,,-129,5.5,,-234,0.5
Matisse Thybulle,,,,,,,,,,,,,,114,0.5
Duop Reath,,,,,,,,,,,,,,146,0.5
Josh Giddey,,-119,3.5,,-115,9.5,,-125,19.5,,104,5.5,,120,0.5
Shai Gilgeous-Alexander,,100,6.5,,-119,31.5,,-119,44.5,,-111,5.5,,-194,1.5
Alperen Sengun,,-117,4.5,,-139,20.5,,-125,35.5,,-142,10.5,,-179,0.5
Jalen Green,,-151,3.5,,-117,15.5,,-123,23.5,,-113,4.5,,-121,1.5
Jabari Smith Jr.,,-121,1.5,,-127,14.5,,-103,25.5,,-103,9.5,,-121,1.5
Dillon Brooks,,-108,1.5,,-115,12.5,,-119,17.5,,129,2.5,,-103,1.5
Luguentz Dort,,-234,1.5,,-115,10.5,,-109,15.5,,106,3.5,,126,1.5
Chet Holmgren,,-135,2.5,,-106,15.5,,-119,26.5,,-119,7.5,,108,1.5
Jalen Williams,,-101,4.5,,-106,19.5,,-127,29.5,,-169,4.5,,-115,1.5
Fred VanVleet,,-111,6.5,,-119,15.5,,-111,25.5,,-137,3.5,,102,2.5
Amen Thompson,,,,,100,8.5,,-117,18.5,,126,5.5,,-354,0.5
